start station name,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender,Month,Year
York St,348.1005586592179,3481.0,40.71648999999986,-74.04104999999986,3248.1340782122907,40.718722079387135,-74.04068044515616,28370.251396648044,1979.3743016759777,1.3687150837988826,January,2019
5 Corners Library,497.05405405405406,3220.0,40.734961020009514,-74.05950307846071,3241.3423423423424,40.73333435274422,-74.05050685794467,28507.972972972973,1982.2522522522522,1.1981981981981982,February,2019
Astor Place,537.9429824561404,3280.0,40.71928220070716,-74.07126188278198,3220.5087719298244,40.72876110104746,-74.06207695411828,28401.219298245614,1977.3552631578948,1.144736842105263,February,2019
Baldwin at Montgomery,564.7788461538462,3225.0,40.72365890000016,-74.06419429999963,3267.1201923076924,40.724125088616496,-74.05141303393513,28287.80769230769,1983.764423076923,1.0432692307692308,February,2019
Bergen Ave,511.7514450867052,3679.0,40.722103786685906,-74.07145500183104,3226.514450867052,40.72835685183245,-74.06036778517434,28401.260115606936,1981.7341040462427,1.277456647398844,February,2019
Brunswick & 6th,394.64823008849555,3269.0,40.726011729646395,-74.0503889322281,3221.79203539823,40.72105870616353,-74.04312616210534,28327.730088495577,1982.2146017699115,1.2721238938053097,February,2019
Brunswick St,407.986328125,3209.0,40.72417649999989,-74.05065639999997,3216.580078125,40.72092276757682,-74.04344400706022,28324.193359375,1982.591796875,1.166015625,February,2019
Christ Hospital,509.8349514563107,3212.0,40.73478581800006,-74.05044363599991,3335.776699029126,40.72920169554913,-74.05473554120134,28276.21359223301,1985.1359223300972,1.3883495145631068,February,2019
City Hall,444.3521126760563,3185.0,40.717732499999975,-74.04384500000013,3284.5150905432597,40.71795674788524,-74.0462147759364,28289.40241448692,1980.9195171026156,1.108651911468813,February,2019
Columbus Drive,360.7782909930716,3275.0,40.718355198232295,-74.03891444206238,3285.6466512702077,40.720882785501786,-74.03883883532914,28306.71362586605,1982.1986143187066,1.115473441108545,February,2019
Communipaw & Berry Lane,792.2884615384615,3277.0,40.71435836870431,-74.06661093235016,3239.2115384615386,40.718565718068334,-74.04886066299335,28444.846153846152,1983.8653846153845,1.2307692307692308,February,2019
Dey St,547.0961538461538,3201.0,40.737711,-74.06692100000006,3413.980769230769,40.731954628526246,-74.05899100215755,28324.75,1972.673076923077,1.0192307692307692,February,2019
Dixon Mills,265.7103825136612,3279.0,40.721630142638254,-74.04996782541275,3259.3579234972676,40.719775640942586,-74.04347852601957,28404.786885245903,1981.3688524590164,1.2540983606557377,February,2019
